source,target
kashmatt13,Wasifjaveddar
kashmatt13,atlantic499
abbassi638,MujahidChaudh11
abbassi638,FazalZimri
abbassi638,Struggl63386185
abbassi638,SMNoman75874944
abbassi638,rizwana26240124
abbassi638,Eshaal_Ali6
EM_Nadir,FazalZimri
EM_Nadir,Asim_pakiatani
EM_Nadir,shazanshahid97
EM_Nadir,Struggl63386185
EM_Nadir,Haq786123
shellali6,Asim_pakiatani
shellali6,TasawarPTii
shellali6,Haq786123
bibichand12,shazanshahid97
bibichand12,matiq2k19
bibichand12,Haq786123
bibichand12,Wasifjaveddar
bibichand12,TasawarPTii
bibichand12,MujahidChaudh11
bibichand12,MKhaledMahmood
bibichand12,AzzaadHona
bibichand12,Struggl63386185
bibichand12,ChKashifLatifP1
bibichand12,SMNoman75874944
bibichand12,Waaaqar
Eshaal_Ali6,abbassi638
Eshaal_Ali6,Struggl63386185
Eshaal_Ali6,TasawarPTii
Eshaal_Ali6,Haq786123
matiq2k19,AbdurRehman1918
matiq2k19,1Irshadkhan
suman_sa,barandbench
suman_sa,javeedmg
zari_pakistani,SMNoman75874944
zari_pakistani,matiq2k19
zari_pakistani,MAfriidii
ali_jan000,UmairKhanLive
ali_jan000,AzzaadHona
ali_jan000,MundaKoshur
being_umar1,Officalkashmir1
MAfriidii,abbassi638
MAfriidii,shazanshahid97
MAfriidii,Haq786123
MAfriidii,Eshaal_Ali6
MAfriidii,being_umar1
MehmoodGazala,kashmatt13
MehmoodGazala,barandbench
MehmoodGazala,AzzaadHona
MehmoodGazala,graziosco
MehmoodGazala,atlantic499
Asim_pakiatani,Struggl63386185
Asim_pakiatani,Haq786123
Asim_pakiatani,shellali6
Asim_pakiatani,bibichand12
Asim_pakiatani,TasawarPTii
Asim_pakiatani,Waaaqar
IamMaryam___,AhtzazGillani
Struggl63386185,abbassi638
Struggl63386185,Asim_pakiatani
Struggl63386185,MoosaJutt6
Struggl63386185,Haq786123
Struggl63386185,TasawarPTii
Struggl63386185,Eshaal_Ali6
shazanshahid97,bibichand12
Haq786123,Asim_pakiatani
Haq786123,Struggl63386185
Haq786123,FazalZimri
Haq786123,bibichand12
Haq786123,TasawarPTii
Haq786123,Eshaal_Ali6
TasawarPTii,Asim_pakiatani
TasawarPTii,Struggl63386185
TasawarPTii,FazalZimri
TasawarPTii,Haq786123
TasawarPTii,bibichand12
TasawarPTii,Eshaal_Ali6
uuummiified46,MoFaisu
FazalZimri,me_waqas_tahir
FazalZimri,Haq786123
Wasifjaveddar,kashmatt13
MujahidChaudh11,abbassi638
MujahidChaudh11,1Irshadkhan
MujahidChaudh11,ChKashifLatifP1
1Irshadkhan,MujahidChaudh11
1Irshadkhan,matiq2k19
L_o_v_e_Ar_m_y,matiq2k19
KalKashur,yavermir
KalKashur,kashmatt13
Officalkashmir1,being_umar1
UmairKhanLive,MundaKoshur
UmairKhanLive,ali_jan000
ShafiqShehzada,AyeshaS91
ShafiqShehzada,MujahidChaudh11
ShafiqShehzada,Struggl63386185
Kavita_M57,aruaugust
abu_ammara,MoosaJutt6
abu_ammara,bibichand12
abu_ammara,matiq2k19
ilovewaziristan,asad_alisyed
ilovewaziristan,shazanshahid97
ilovewaziristan,matiq2k19
ilovewaziristan,me_waqas_tahir
ilovewaziristan,Haq786123
ilovewaziristan,Ghost1455673598
ilovewaziristan,MujahidChaudh11
ilovewaziristan,AzzaadHona
ilovewaziristan,Struggl63386185
ilovewaziristan,abu_ammara
ilovewaziristan,AliHassanNoon1
ilovewaziristan,kashmatt13
ilovewaziristan,the_sr1
ChKashifLatifP1,SMNoman75874944
ChKashifLatifP1,MujahidChaudh11
warrior_jagga,Haq786123
warrior_jagga,TasawarPTii
MoosaJutt6,Struggl63386185
MoosaJutt6,abu_ammara
Benightedeye,mooserbaer
ImtiazButt79,Officalkashmir1
ImtiazButt79,AzzaadHona
ImtiazButt79,matiq2k19
ImtiazButt79,SMNoman75874944
ImtiazButt79,ChKashifLatifP1
ImtiazButt79,i_NainTara
javeedmg,suman_sa
AzzaadHona,MehmoodGazala
AzzaadHona,TwadiPan
AzzaadHona,bibichand12
AzzaadHona,ali_jan000
AzzaadHona,MundaKoshur
AzzaadHona,Ghost1455673598
rizwana26240124,AyeshaS91
rizwana26240124,abbassi638
rizwana26240124,1Irshadkhan
rizwana26240124,abu_ammara
rizwana26240124,SMNoman75874944
rizwana26240124,me_waqas_tahir
rizwana26240124,Muhamma49287219
rizwana26240124,MujahidChaudh11
rizwana26240124,Asad55850899
rizwana26240124,SohailI62730789
SMNoman75874944,bibichand12
SMNoman75874944,saifi_tiger
Waaaqar,Asim_pakiatani
Waaaqar,bibichand12
Ghost1455673598,UmairKhanLive
Ghost1455673598,ali_jan000
Ghost1455673598,AzzaadHona
Ghost1455673598,DisputedK
