source,target
CoolDeep_Yadav,barandbench
CoolDeep_Yadav,LiveLawIndia
ChKashifLatifP1,MujahidChaudh11
ChKashifLatifP1,SMNoman75874944
ChKashifLatifP1,bibichand12
ChKashifLatifP1,ImtiazButt79
warrior_jagga,TasawarPTii
Ashishtrpathi1,LiveLawIndia
kashmatt13,Wasifjaveddar
kashmatt13,ilovewaziristan
kashmatt13,atlantic499
abbassi638,MujahidChaudh11
abbassi638,rizwana26240124
abbassi638,Struggl63386185
abbassi638,Eshaal_Ali6
abbassi638,MAfriidii
AbdurRehman1918,matiq2k19
shellali6,Asim_pakiatani
shellali6,TasawarPTii
bibichand12,AzzaadHona
bibichand12,shazanshahid97
bibichand12,SMNoman75874944
bibichand12,Struggl63386185
bibichand12,TasawarPTii
bibichand12,Waaaqar
Sandeep71121431,barandbench
Eshaal_Ali6,abbassi638
Eshaal_Ali6,EM_Nadir
Eshaal_Ali6,ilovewaziristan
Eshaal_Ali6,Struggl63386185
Eshaal_Ali6,Haq786123
Eshaal_Ali6,TasawarPTii
Eshaal_Ali6,MAfriidii
matiq2k19,1Irshadkhan
matiq2k19,ilovewaziristan
matiq2k19,AbdurRehman1918
matiq2k19,abu_ammara
matiq2k19,ImtiazButt79
matiq2k19,L_o_v_e_Ar_m_y
matiq2k19,bibichand12
matiq2k19,zari_pakistani
suman_sa,barandbench
suman_sa,javeedmg
suman_sa,LiveLawIndia
barandbench,LiveLawIndia
Muhamma49287219,rizwana26240124
zari_pakistani,MAfriidii
ali_jan000,UmairKhanLive
ali_jan000,AzzaadHona
ali_jan000,MundaKoshur
upbeat_69,Sajeda_Akhtar
WeMeNThee,barandbench
WeMeNThee,DailyExcelsior1
WeMeNThee,LiveLawIndia
being_umar1,Officalkashmir1
being_umar1,MAfriidii
me_waqas_tahir,FazalZimri
me_waqas_tahir,rizwana26240124
me_waqas_tahir,ilovewaziristan
MehmoodGazala,AzzaadHona
MehmoodGazala,atlantic499
MehmoodGazala,barandbench
MehmoodGazala,kashmatt13
MehmoodGazala,graziosco
MehmoodGazala,LiveLawIndia
Asim_pakiatani,shellali6
Asim_pakiatani,EM_Nadir
Asim_pakiatani,Struggl63386185
Asim_pakiatani,Haq786123
Asim_pakiatani,bibichand12
Asim_pakiatani,TasawarPTii
Asim_pakiatani,Waaaqar
AliHassanNoon1,ilovewaziristan
faheem_maliik,MAfriidii
Struggl63386185,abbassi638
Struggl63386185,EM_Nadir
Struggl63386185,ilovewaziristan
Struggl63386185,ShafiqShehzada
Struggl63386185,Asim_pakiatani
Struggl63386185,MoosaJutt6
Struggl63386185,Haq786123
Struggl63386185,TasawarPTii
Struggl63386185,Eshaal_Ali6
shazanshahid97,bibichand12
shazanshahid97,ilovewaziristan
shazanshahid97,EM_Nadir
shazanshahid97,MAfriidii
graziosco,barandbench
graziosco,LiveLawIndia
Haq786123,Asim_pakiatani
Haq786123,EM_Nadir
Haq786123,ilovewaziristan
Haq786123,Struggl63386185
Haq786123,MAfriidii
Haq786123,FazalZimri
Haq786123,shellali6
Haq786123,bibichand12
Haq786123,TasawarPTii
Haq786123,Eshaal_Ali6
Haq786123,warrior_jagga
TasawarPTii,Asim_pakiatani
TasawarPTii,EM_Nadir
TasawarPTii,FazalZimri
TasawarPTii,Struggl63386185
TasawarPTii,ImtiazButt79
TasawarPTii,Haq786123
TasawarPTii,bibichand12
TasawarPTii,warrior_jagga
TasawarPTii,Eshaal_Ali6
FazalZimri,me_waqas_tahir
FazalZimri,abbassi638
FazalZimri,EM_Nadir
FazalZimri,Haq786123
Wasifjaveddar,kashmatt13
MujahidChaudh11,abbassi638
MujahidChaudh11,1Irshadkhan
MujahidChaudh11,ilovewaziristan
MujahidChaudh11,ShafiqShehzada
MujahidChaudh11,ChKashifLatifP1
MujahidChaudh11,rizwana26240124
MujahidChaudh11,bibichand12
1Irshadkhan,MujahidChaudh11
1Irshadkhan,rizwana26240124
1Irshadkhan,matiq2k19
KalKashur,yavermir
KalKashur,kashmatt13
Officalkashmir1,ImtiazButt79
Officalkashmir1,being_umar1
UmairKhanLive,MundaKoshur
UmairKhanLive,ali_jan000
teestasdad,barandbench
teestasdad,LiveLawIndia
ShafiqShehzada,Struggl63386185
Asad55850899,rizwana26240124
Kavita_M57,aruaugust
abu_ammara,MoosaJutt6
abu_ammara,rizwana26240124
abu_ammara,bibichand12
abu_ammara,ilovewaziristan
i_NainTara,ImtiazButt79
Benightedeye,barandbench
Benightedeye,mooserbaer
Benightedeye,LiveLawIndia
MoosaJutt6,Struggl63386185
MoosaJutt6,abu_ammara
the_sr1,ilovewaziristan
the_sr1,IamMaryam___
SMNoman75874944,ImtiazButt79
SMNoman75874944,abbassi638
SMNoman75874944,bibichand12
SMNoman75874944,zari_pakistani
AhtzazGillani,IamMaryam___
javeedmg,suman_sa
AzzaadHona,MundaKoshur
AzzaadHona,MehmoodGazala
AzzaadHona,ilovewaziristan
AzzaadHona,ImtiazButt79
AzzaadHona,bibichand12
AzzaadHona,ali_jan000
AzzaadHona,Ghost1455673598
AzzaadHona,TwadiPan
haroonrashid242,barandbench
StudentneedsJ,LiveLawIndia
Ghost1455673598,UmairKhanLive
Ghost1455673598,ali_jan000
Ghost1455673598,ilovewaziristan
Ghost1455673598,AzzaadHona
Ghost1455673598,DisputedK
asad_alisyed,ilovewaziristan
aruaugust,LiveLawIndia
rizwana26240124,AyeshaS91
rizwana26240124,abbassi638
MoFaisu,uuummiified46
Waaaqar,Asim_pakiatani
Waaaqar,bibichand12
