source,target
javeedmg,suman_sa
NaumiWho,IRISHINSAFIAN
Yeasminfarzana2,Sumanyatours
SobiaIrfan20,aahmedbinqasim
lost_soul_123,salmi_gull
being_umar1,salmi_gull
pti8811CNN,pakistaninews
Asad55850899,MSkhaaaaan
TwadiPan,ashoswai
ImranDev3,ARYNEWSOFFICIAL
EM_Nadir,Raja_kshahzad
universalgtk,TahirFiraz
ShafiqShehzada,arynewsud
Naveed_Ashraf01,aahmedbinqasim
thesamiullah,ashoswai
moody07311904,ARYNEWSOFFICIAL
MoFaisu,salmi_gull
SyedAliMKazmi,IRISHINSAFIAN
shellali6,shazanshahid97
EngineerShoaib_,ashoswai
the_sr1,salmi_gull
1Irshadkhan,matiq2k19
deepayang1,BhavikaKapoor5
DisputedK,DisputedK
Rajput87Prakash,ashoswai
teestasdad,barandbench
MehmoodGazala,DaniaWani2
matiq2k19,mabdullah2k19
krishanjee,barandbench
Kavita_M57,pallavict
ZubairDar786,Ieshan_W
themuslimumah,abbas_kumbhar
Haq786123,bibichand12
Haq786123,Kiran_Waji
Muhamma49287219,ARYNEWSOFFICIAL
Officalkashmir1,Sehrish226
MujahidChaudh11,faanitweet
yavermir,quratmir
bantophool,barandbench
mooserbaer,KashmirOsint
raheelkhan5544,arynewsud
AbdurRehman1918,630wa
AbdurRehman1918,mabdullah2k19
warrior_jagga,shazanshahid97
warrior_jagga,bibichand12
Eshaal_Ali6,Khalid__Langah1
Eshaal_Ali6,bibichand12
Muhamma74362143,ARYNEWSOFFICIAL
AliHassanNoon1,gulsher34
AliHassanNoon1,ilovewaziristan
moody_bhakt,ashoswai
FazalZimri,Raja_kshahzad
FazalZimri,Crazy_jawwi
FazalZimri,512Sheel
FazalZimri,bibichand12
Chachabhosdky,KashmirOsint
Benightedeye,barandbench
ImtiazButt79,Shasii_Arain
TasawarPTii,bibichand12
kunte_v,abramkhan0070
AdilRasool16,IRISHINSAFIAN
MoosaJutt6,Asad55850899
MoosaJutt6,h4hafizahmad
MoosaJutt6,NimraSamarr
faheem_maliik,bibichand12
usman30920808,NimraSamarr
being_aairah,ashoswai
CoolDeep_Yadav,raajbhat
zari_pakistani,SoStarMusic
graziosco,barandbench
MananIqbal2,KashmirOsint
Wasifjaveddar,kashmatt13
MAfriidii,SoStarMusic
Struggl63386185,shazanshahid97
Struggl63386185,bibichand12
IamMaryam___,IamMaryam___
Ashishtrpathi1,MyNation
bilawalshah59,ARYNEWSOFFICIAL
bilawalshah59,IRISHINSAFIAN
ali_jan000,MundaKoshur
85_ritika,Fati45359387
billyamg,ARYNEWSOFFICIAL
JackieJonesWal1,TheresaMEP
abbassi638,512Sheel
MKhaledMahmood,IRISHINSAFIAN
DrRajku11571791,Sajeda_Akhtar
Chadhar563,NimraSamarr
haroonrashid242,KashmirOsint
a_sharique,barandbench
umysmum,IRISHINSAFIAN
umysmum,PTVNewsOfficial
atlantic499,KashmirTweet2
SMNoman75874944,capisces
LallanPr,AnsariK786
i_NainTara,shazanshahid97
i_NainTara,bibichand12
Jenin65149160,ashoswai
Razakhan145,tahirqazi
Razakhan145,HerNameIs_Bea
AzzaadHona,ashoswai
Shahzadadeindia,BhavikaKapoor5
KalKashur,tahirqazi
Crrazy_gamerz,Beingsajiddarr
Mohamedsadath,ashoswai
Ghost1455673598,KashmirOsint
uuummiified46,salmi_gull
Baba_Jee_,IRISHINSAFIAN
GoPeaceWay,salmi_gull
Bin_Hurr,KashmirOsint
nashanas71,IRISHINSAFIAN
aruaugust,LiveLawIndia
bbaalloocch,salmi_gull
fidakiani,najibgk
L_o_v_e_Ar_m_y,mabdullah2k19
SohailI62730789,ARYNEWSOFFICIAL
SohailI62730789,arynewsud
SohailI62730789,IRISHINSAFIAN
abu_ammara,Raja_kshahzad
abu_ammara,bibichand12
WeMeNThee,anuradhagoyal
qfarooq01,arynewsud
rimshakashmiri,Saqlain_Ch_
StudentneedsJ,barandbench
Warraich182,abbas_kumbhar
ChKashifLatifP1,aahmedbinqasim
Waaaqar,NimraSamarr
asad_alisyed,SoStarMusic
Montchelle66,farjad99
saddamghazanfer,aahmedbinqasim
Beefophile,ashoswai
me_waqas_tahir,MSkhaaaaan
upbeat_69,Sajeda_Akhtar
saifi_tiger,ARYNEWSOFFICIAL
sid4477,Beingsajiddarr
UmairKhanLive,IRJK_soon
UmairKhanLive,KashmirSiege
IndianBoy092,SidrahDP
AhtzazGillani,salmi_gull
Asim_pakiatani,Raja_kshahzad
Sandeep71121431,barandbench
ilovewaziristan,shazanshahid97
ilovewaziristan,ilovewaziristan
rizwana26240124,arynewsud
akashsinghaero,neelakantha
MABAKHAN,IRISHINSAFIAN
