source,target
GoPeaceWay,salmi_gull
AbdurRehman1918,630wa
AbdurRehman1918,mabdullah2k19
MoFaisu,salmi_gull
UmairKhanLive,KashmirSiege
UmairKhanLive,IRJK_soon
shellali6,shazanshahid97
DisputedK,DisputedK
AliHassanNoon1,ilovewaziristan
AliHassanNoon1,gulsher34
Benightedeye,barandbench
Benightedeye,barandbench
moody_bhakt,ashoswai
faheem_maliik,bibichand12
TasawarPTii,bibichand12
asad_alisyed,SoStarMusic
KalKashur,tahirqazi
being_umar1,salmi_gull
MAfriidii,SoStarMusic
MoosaJutt6,Asad55850899
MoosaJutt6,NimraSamarr
MoosaJutt6,h4hafizahmad
bbaalloocch,salmi_gull
saifi_tiger,ARYNEWSOFFICIAL
nashanas71,IRISHINSAFIAN
aruaugust,LiveLawIndia
Shahzadadeindia,BhavikaKapoor5
Wasifjaveddar,kashmatt13
SMNoman75874944,capisces
lost_soul_123,salmi_gull
Baba_Jee_,IRISHINSAFIAN
the_sr1,salmi_gull
Kavita_M57,pallavict
Mohamedsadath,ashoswai
themuslimumah,abbas_kumbhar
ilovewaziristan,ilovewaziristan
ilovewaziristan,shazanshahid97
Montchelle66,farjad99
1Irshadkhan,matiq2k19
abbassi638,512Sheel
ali_jan000,MundaKoshur
AzzaadHona,ashoswai
ImranDev3,ARYNEWSOFFICIAL
Warraich182,abbas_kumbhar
Ashishtrpathi1,MyNation
SyedAliMKazmi,IRISHINSAFIAN
MKhaledMahmood,IRISHINSAFIAN
Ghost1455673598,KashmirOsint
Crrazy_gamerz,Beingsajiddarr
raheelkhan5544,arynewsud
Asim_pakiatani,Raja_kshahzad
upbeat_69,Sajeda_Akhtar
matiq2k19,mabdullah2k19
SohailI62730789,arynewsud
SohailI62730789,ARYNEWSOFFICIAL
SohailI62730789,IRISHINSAFIAN
MehmoodGazala,DaniaWani2
universalgtk,TahirFiraz
Razakhan145,HerNameIs_Bea
Razakhan145,tahirqazi
Razakhan145,HerNameIs_Bea
EngineerShoaib_,ashoswai
JackieJonesWal1,TheresaMEP
FazalZimri,512Sheel
FazalZimri,Raja_kshahzad
FazalZimri,Crazy_jawwi
FazalZimri,Raja_kshahzad
FazalZimri,bibichand12
pti8811CNN,pakistaninews
warrior_jagga,bibichand12
warrior_jagga,shazanshahid97
warrior_jagga,bibichand12
StudentneedsJ,barandbench
StudentneedsJ,barandbench
uuummiified46,salmi_gull
graziosco,barandbench
graziosco,barandbench
graziosco,barandbench
Rajput87Prakash,ashoswai
Jenin65149160,ashoswai
rizwana26240124,arynewsud
saddamghazanfer,aahmedbinqasim
Asad55850899,MSkhaaaaan
TwadiPan,ashoswai
Yeasminfarzana2,Sumanyatours
Chachabhosdky,KashmirOsint
AdilRasool16,IRISHINSAFIAN
Struggl63386185,bibichand12
Struggl63386185,shazanshahid97
L_o_v_e_Ar_m_y,mabdullah2k19
usman30920808,NimraSamarr
i_NainTara,shazanshahid97
i_NainTara,bibichand12
i_NainTara,bibichand12
qfarooq01,arynewsud
LallanPr,AnsariK786
ImtiazButt79,Shasii_Arain
SobiaIrfan20,aahmedbinqasim
Haq786123,Kiran_Waji
Haq786123,bibichand12
AhtzazGillani,salmi_gull
atlantic499,KashmirTweet2
haroonrashid242,KashmirOsint
Eshaal_Ali6,Khalid__Langah1
Eshaal_Ali6,bibichand12
fidakiani,najibgk
krishanjee,barandbench
ZubairDar786,Ieshan_W
CoolDeep_Yadav,raajbhat
Officalkashmir1,Sehrish226
umysmum,PTVNewsOfficial
umysmum,IRISHINSAFIAN
rimshakashmiri,Saqlain_Ch_
Muhamma49287219,ARYNEWSOFFICIAL
NaumiWho,IRISHINSAFIAN
IamMaryam___,IamMaryam___
sid4477,Beingsajiddarr
Beefophile,ashoswai
javeedmg,suman_sa
bilawalshah59,ARYNEWSOFFICIAL
bilawalshah59,IRISHINSAFIAN
mooserbaer,KashmirOsint
abu_ammara,bibichand12
abu_ammara,Raja_kshahzad
me_waqas_tahir,MSkhaaaaan
a_sharique,barandbench
zari_pakistani,SoStarMusic
zari_pakistani,SoStarMusic
moody07311904,ARYNEWSOFFICIAL
deepayang1,BhavikaKapoor5
DrRajku11571791,Sajeda_Akhtar
MananIqbal2,KashmirOsint
ChKashifLatifP1,aahmedbinqasim
Muhamma74362143,ARYNEWSOFFICIAL
MABAKHAN,IRISHINSAFIAN
yavermir,quratmir
85_ritika,Fati45359387
IndianBoy092,SidrahDP
Sandeep71121431,barandbench
billyamg,ARYNEWSOFFICIAL
thesamiullah,ashoswai
MujahidChaudh11,faanitweet
WeMeNThee,anuradhagoyal
teestasdad,barandbench
EM_Nadir,Raja_kshahzad
EM_Nadir,Raja_kshahzad
Bin_Hurr,KashmirOsint
Naveed_Ashraf01,aahmedbinqasim
being_aairah,ashoswai
Waaaqar,NimraSamarr
kunte_v,abramkhan0070
bantophool,barandbench
Chadhar563,NimraSamarr
akashsinghaero,neelakantha
ShafiqShehzada,arynewsud
